GO:0097367	F	0.79	carbohydrate derivative binding
GO:0008201	F	0.76	heparin binding
GO:0005102	F	0.61	receptor binding
GO:0008083	F	0.58	growth factor activity
GO:0035374	F	0.28	chondroitin sulfate binding
GO:1901363	F	0.22	heterocyclic compound binding
GO:0097159	F	0.22	organic cyclic compound binding
GO:0043394	F	0.21	proteoglycan binding
GO:0003824	F	0.17	catalytic activity
GO:0043395	F	0.16	heparan sulfate proteoglycan binding
GO:0000166	F	0.14	nucleotide binding
GO:0035639	F	0.13	purine ribonucleoside triphosphate binding
GO:0032555	F	0.13	purine ribonucleotide binding
GO:0032550	F	0.13	purine ribonucleoside binding
GO:0016740	F	0.11	transferase activity
